Date,Confirmed,Deaths,Recovered
2020-01-22,555,0,0
2020-01-23,653,18,30
2020-01-24,941,26,36
2020-01-25,2019,56,49
2020-01-26,2794,80,54
2020-01-27,4473,107,63
2020-01-28,6057,132,110
2020-01-29,7783,170,133
2020-01-30,9776,213,187
2020-01-31,11374,259,252
2020-02-01,14549,305,340
2020-02-02,17295,362,487
2020-02-03,20588,426,644
2020-02-04,24503,492,899
2020-02-05,24630,494,1029
2020-02-06,30806,634,1487
2020-02-07,31532,638,1763
2020-02-08,37549,813,2701
2020-02-09,40536,910,3312
2020-02-10,42767,1013,3950
2020-02-11,45117,1115,4781
2020-02-12,60328,1368,5986
2020-02-13,64422,1491,7064
2020-02-14,66887,1523,8058
2020-02-15,69032,1666,9395
2020-02-16,71226,1770,10865
2020-02-17,73260,1868,12583
